The	﻿the
Kartonskizze	kartonskizze
des	des
Herrn	herrn
Liebsdier	liebsdier
Es	es
legt	legt
dem	dem
Burschen	burschen
auf	auf
die	die
Stirne	stirne
die	die
Hand	hand
der	der
Genius	genius
so	so
lind,	lind
daß	daß
mit	mit
des	des
Liedes	liedes
Silberzwirne	silberzwirne
er	er
seiner	seiner
Liebsten	liebsten
Herz	herz
umspinnt.	umspinnt
Da	da
mag	mag
der	der
Bursch	bursch
sich	sich
süß	süß
erinnern,	erinnern
was	was
aus	aus
der	der
Mutter	mutter
Mund	mund
ihm	ihm
scholl,	scholl
und	und
mit	mit
dem	dem
Klang	klang
aus	aus
seinem	seinem
Innern	innern
füllt	füllt
er	er
sich	sich
seine	seine
Fiedel	fiedel
voll.	voll
Die	die
Liebe	liebe
und	und
der	der
Heimat	heimat
Schöne	schöne
drückt	drückt
ihm	ihm
den	den
Bogen	bogen
in	in
die	die
Hand,	hand
und	und
leise	leise
rieseln	rieseln
seine	seine
Töne	töne
wie	wie
Blütenregen	blütenregen
in	in
das	das
Land.	land
Und	und
große	große
Dichter,	dichter
ruhmberauschte,	ruhmberauschte
dem	dem
schlichten	schlichten
Liede	liede
lauschen	lauschen
sie,	sie
so	so
gläubig	gläubig
wie	wie
das	das
Volk	volk
einst	einst
lauschte	lauschte
dem	dem
Gottes	gottes
wort	wort
des	des
Sinai.	sinai
DORFSONNTAG	dorfsonntag
Im	im
Wirtshaus	wirtshaus
auf	auf
den	den
blanken	blanken
Dielen	dielen
schwingt	schwingt
sich	sich
die	die
Jugend	jugend
frisch	frisch
und	und
laut,	laut
des	des
Burschen	burschen
Hand,	hand
so	so
hart	hart
von	von
Schwielen,	schwielen
drückt	drückt
die	die
des	des
blonden	blonden
Mädchens	mädchens
traut;	traut;
bierfrohe	bierfrohe
Musikanten	musikanten
spielen	spielen
ein	ein
Lied	lied
aus	aus
der	der
"""verkauften"	"""verkauften"
"Braut""."	"braut"""
"""Trinkt"	"""trinkt"
zu!	zu
Ich	ich
will	will
euch	euch
heut	heut
"besolden."""	"besolden."""
Der	der
Pfarrherr.	pfarrherr
Der	der
liebt	liebt
muntern	muntern
Geist.	geist
Und	und
wie	wie
er	er
nach	nach
dem	dem
Tanz	tanz
die	die
Holden	holden
zu	zu
seinem	seinem
Tische	tische
kommen	kommen
heißt,	heißt
da	da
geht	geht
der	der
Abend	abend
draußen,	draußen
golden,	golden
und	und
lacht	lacht
durch	durch
alle	alle
Fenster	fenster
dreist.	dreist
MEIN	mein
GEBURTSHAUS	geburtshaus
Der	der
Erinnrung	erinnrung
ist	ist
das	das
traute	traute
Heim	heim
der	der
Kindheit	kindheit
nicht	nicht
entflohn,	entflohn
wo	wo
ich	ich
Bilderbogen	bilderbogen
schaute	schaute
im	im
blauseidenen	blauseidenen
Salon.	salon
Wo	wo
ein	ein
Puppenkleid,	puppenkleid
mit	mit
Strähnen	strähnen
dicken	dicken
Silbers	silbers
reich	reich
betreßt,	betreßt
Glück	glück
mir	mir
war;	war;
wo	wo
heiße	heiße
Tränen	tränen
mir	mir
das	das
"""Rechnen"""	"""rechnen"""
ausgepreßt.	ausgepreßt
Wo	wo
ich,	ich
einem	einem
dunklen	dunklen
Rufe	rufe
folgend,	folgend
nach	nach
Gedichten	gedichten
griff,	griff
und	und
auf	auf
einer	einer
Fensterstufe	fensterstufe
Tramway	tramway
spielte	spielte
oder	oder
Schiff.	schiff
Wo	wo
ein	ein
Mädchen	mädchen
stets	stets
mir	mir
winkte	winkte
drüben	drüben
in	in
dem	dem
Gräfenhains....	gräfenhains
Der	der
Palast,	palast
der	der
damals	damals
blinkte,	blinkte
sieht	sieht
heut	heut
so	so
verschlafen	verschlafen
aus.	aus
Und	und
das	das
blonde	blonde
Kind,	kind
das	das
lachte,	lachte
wenn	wenn
der	der
Knab	knab
ihm	ihm
Küsse	küsse
warf,	warf
ist	ist
nun	nun
fort;	fort;
fern	fern
ruht	ruht
es	es
sachte,	sachte
wo	wo
es	es
nie	nie
mehr	mehr
lächeln	lächeln
darf.	darf
IN	in
DUBIIS	dubiis
I	i
Es	es
dringt	dringt
kein	kein
Laut	laut
bis	bis
her	her
zu	zu
mir	mir
von	von
der	der
Nationen	nationen
wildem	wildem
Streite,	streite
ich	ich
stehe	stehe
ja	ja
auf	auf
keiner	keiner
Seite;	seite;
denn	denn
Recht	recht
ist	ist
weder	weder
dort	dort
noch	noch
hier.	hier
Und	und
weil	weil
ich	ich
nie	nie
Horaz	horaz
vergaß,	vergaß
bleib	bleib
gut	gut
ich	ich
aller	aller
Welt	welt
und	und
halte	halte
mich	mich
unverbrüchlich	unverbrüchlich
an	an
die	die
alte	alte
aurea	aurea
mediocritas.	mediocritas
II	ii
Der	der
erscheint	erscheint
mir	mir
als	als
der	der
Größte,	größte
der	der
zu	zu
keiner	keiner
Fahne	fahne
schwört,	schwört
und,	und
weil	weil
er	er
vom	vom
Teil	teil
sich	sich
löste,	löste
nun	nun
der	der
ganzen	ganzen
Weit	weit
gehört.	gehört
Ist	ist
sein	sein
Heim	heim
die	die
Weit;	weit;
es	es
mißt	mißt
ihm	ihm
doch	doch
nicht	nicht
klein	klein
der	der
Heimat	heimat
Hort;	hort;
denn	denn
das	das
Vaterland,	vaterland
es	es
ist	ist
ihm	ihm
dann	dann
sein	sein
Haus	haus
im	im
Heimatsort.	heimatsort
BARBAREN	barbaren
Ich	ich
weiß	weiß
von	von
einem	einem
Riesenparke	riesenparke
dort,	dort
wo	wo
die	die
Stadt	stadt
sich	sich
schon	schon
verliert;	verliert;
jetzt	jetzt
nagt	nagt
die	die
Axt	axt
an	an
seinem	seinem
Marke,	marke
sie	sie
sagen:	sagen:
er	er
wird	wird
parzelliert.	parzelliert
Das	das
ist	ist
der	der
Fürstenpark	fürstenpark
Clam-Gallas,	clam-gallas
der	der
Mietskasernen	mietskasernen
weichen	weichen
soll,	soll
der	der
war	war
doch	doch
wie	wie
ein	ein
Hain	hain
der	der
Pallas	pallas
der	der
raunenden	raunenden
Orakel	orakel
voll.	voll
Jetzt	jetzt
stürmen	stürmen
sie,	sie
die	die
Uhgeweihten,	uhgeweihten
den	den
Ort,	ort
den	den
kein	kein
Profaner	profaner
sah:	sah:
Es	es
übertönt	übertönt
der	der
Lärm	lärm
der	der
Zeiten	zeiten
das	das
Götterwort	götterwort
der	der
Pythia.	pythia
SOMMERABEND	sommerabend
Die	die
große	große
Sonne	sonne
ist	ist
versprüht,	versprüht
der	der
Sommerabend	sommerabend
liegt	liegt
im	im
Fieber,	fieber
und	und
seine	seine
heiße	heiße
Wange	wange
glüht.	glüht
Jach	jach
seufzt	seufzt
er	er
auf:	auf:
"""Ich"	"""ich"
möchte	möchte
"lieber...."""	"lieber...."""
Und	und
wieder	wieder
dann:	dann:
"""Ich"	"""ich"
bin	bin
so	so
"müd...."""	"müd...."""
Die	die
Büsche	büsche
beten	beten
Litanein,	litanein
Glühwürmchen	glühwürmchen
hangt,	hangt
das	das
regungslose,	regungslose
dort	dort
wie	wie
ein	ein
ewiges	ewiges
Licht	licht
hinein;	hinein;
und	und
eine	eine
kleine	kleine
weiße	weiße
Rose	rose
tragt	tragt
einen	einen
roten	roten
Heiligenschein.	heiligenschein
GERICHTET	gerichtet
"""Am"	"""am"
"Ring"""	"ring"""
stand	stand
einst	einst
ein	ein
Blutgerüst,	blutgerüst
lang	lang
ist	ist
es	es
her;	her;
doch	doch
wenn	wenn
der	der
Schein	schein
des	des
runden	runden
Monds	monds
das	das
Rathaus	rathaus
küßt,	küßt
dann	dann
wallen	wallen
aus	aus
dem	dem
heilgen	heilgen
Teyn	teyn
Gerichtete	gerichtete
in	in
Geisterreihn	geisterreihn
...	
Weh	weh
wer	wer
sie	sie
sah!	sah
Viel	viel
Herren	herren
fielen	fielen
auf	auf
dem	dem
Ring;	ring;
die	die
Herren	herren
finden	finden
Ruhe	ruhe
nicht;--	nicht;--
sie	sie
zogen	zogen
eines	eines
Nachts:	nachts:
Es	es
ging	ging
voran	voran
Herr	herr
Christus,	christus
groß	groß
und	und
licht,	licht
mit	mit
ernstem,	ernstem
traurigem	traurigem
Gesicht	gesicht
...	
Und	und
einer	einer
sahs!	sahs
Der	der
war	war
ein	ein
Maler.	maler
Und	und
im	im
Flug	flug
malt	malt
er,	er
wie	wie
er	er
geschaut,	geschaut
den	den
Ring.	ring
Er	er
malt	malt
den	den
ganzen	ganzen
Geisterzug,	geisterzug
dem	dem
ernst	ernst
voran	voran
Herr	herr
Christus	christus
ging.	ging
Er	er
malt	malt
...	
bis	bis
ihn	ihn
ein	ein
Fieber	fieber
fing	fing
...	
Jetzt	jetzt
ist	ist
er	er
tot.--	tot.--
DAS	das
MÄRCHEN	märchen
VON	von
DER	der
WOLKE	wolke
Der	der
Tag	tag
ging	ging
aus	aus
mit	mit
mildem	mildem
Tone,	tone
so	so
wie	wie
ein	ein
Hammerschlag	hammerschlag
verklang.	verklang
Wie	wie
eine	eine
gelbe	gelbe
Goldmelone	goldmelone
lag	lag
groß	groß
der	der
Mond	mond
im	im
Kraut	kraut
am	am
Hang.	hang
Ein	ein
Wölkchen	wölkchen
wollte	wollte
davon	davon
naschen,	naschen
und	und
es	es
gelang	gelang
ihm,	ihm
ein	ein
paar	paar
Zoll	zoll
des	des
hellen	hellen
Rundes	rundes
zu	zu
erhaschen,	erhaschen
rasch	rasch
kaut	kaut
es	es
sich	sich
die	die
Bäckchen	bäckchen
voll.	voll
Es	es
hielt	hielt
sich	sich
lange	lange
auf	auf
der	der
Flucht	flucht
auf	auf
und	und
zog	zog
sich	sich
ganz	ganz
mit	mit
Lichte	lichte
an;--	an;--
da	da
hob	hob
die	die
Nacht	nacht
die	die
goldne	goldne
Frucht	frucht
auf:	auf:
Schwarz	schwarz
ward	ward
die	die
Wolke	wolke
und	und
zerrann.	zerrann
FREIHEITSKLÄNGE	freiheitsklänge
Böhmens	böhmens
Volk!	volk
In	in
deinen	deinen
Kreisen	kreisen
weckt	weckt
ein	ein
neuer	neuer
Genius	genius
alte,	alte
heiße	heiße
Freiheitsweisen,	freiheitsweisen
und	und
die	die
mahnen	mahnen
nicht	nicht
mit	mit
leisen	leisen
Worten,	worten
daß	daß
dein	dein
Fesseleisen	fesseleisen
ganz	ganz
zerschmettert	zerschmettert
werden	werden
muß.	muß
Diese	diese
Streitpoeten	streitpoeten
blasen	blasen
lockend;	lockend;
und	und
in	in
Stücke	stücke
haun	haun
kannst	kannst
du,	du
Volk,	volk
in	in
deinem	deinem
Rasen	rasen
des	des
Gesetzes	gesetzes
Marmorvasen,	marmorvasen
doch	doch
du	du
kannst	kannst
aus	aus
ihren	ihren
Phrasen	phrasen
keine	keine
Zukunft	zukunft
dir	dir
erbaun.	erbaun
Tief	tief
in	in
Herz	herz
und	und
Sinn	sinn
in	in
treuer	treuer
Hoffnung	hoffnung
senk	senk
die	die
Liedersaat,	liedersaat
sind	sind
dir	dir
deine	deine
Dichter	dichter
teuer,	teuer
daß	daß
daraus	daraus
ein	ein
Lenz,	lenz
ein	ein
neuer,	neuer
keime.--Was	keime.--was
dann	dann
blieb	blieb
vom	vom
Feuer,	feuer
das	das
entflamme	entflamme
dich	dich
zur	zur
Tat.	tat
NACHTBILD	nachtbild
Auch	auch
auf	auf
der	der
Theaterrampe	theaterrampe
wird	wird
es	es
stille	stille
nach	nach
und	und
nach.--	nach.--
Eine	eine
eitle	eitle
Bogenlampe	bogenlampe
schaut	schaut
sich	sich
in	in
ein	ein
Droschkendach.	droschkendach
Auf	auf
dem	dem
leeren	leeren
Gangsteig	gangsteig
zucken	zucken
Lichter.--Sehn	lichter.--sehn
nicht	nicht
dort	dort
am	am
Haus	haus
helle	helle
Dachmansardenlucken	dachmansardenlucken
wie	wie
verweinte	verweinte
Augen	augen
aus?	aus?
HINTER	hinter
SMICHOV	smichov
Hin	hin
gehn	gehn
durch	durch
heißes	heißes
Abendrot	abendrot
aus	aus
den	den
Fabriken	fabriken
Männer,	männer
Dirnen,--	dirnen,--
auf	auf
ihre	ihre
niedern,	niedern
dumpfen	dumpfen
Stirnen	stirnen
schrieb	schrieb
sich	sich
mit	mit
Schweiß	schweiß
und	und
Ruß	ruß
die	die
Not.	not
Die	die
Mienen	mienen
sind	sind
verstumpft;	verstumpft;
es	es
brach	brach
das	das
Auge.	auge
Schwer	schwer
durchschlürft	durchschlürft
die	die
Sohle	sohle
den	den
Weg,	weg
und	und
Staub	staub
zieht	zieht
und	und
Gejohle	gejohle
wie	wie
das	das
Verhängnis	verhängnis
ihnen	ihnen
nach.	nach
IM	im
SOMMER	sommer
Im	im
Sommer	sommer
trägt	trägt
ein	ein
kleiner	kleiner
Dampfer	dampfer
auf	auf
Moldauwogen	moldauwogen
uns	uns
nach	nach
Zlichov	zlichov
zu	zu
jenem	jenem
Kirchlein,	kirchlein
hoch	hoch
und	und
frei.	frei
Im	im
blauen	blauen
Nebel	nebel
schwindet	schwindet
Smichov;--	smichov;--
zur	zur
Rechten	rechten
Flächen	flächen
braun	braun
von	von
Ampfer,	ampfer
zur	zur
Linken	linken
stolz	stolz
die	die
"""Loreley""."	"""loreley"""
Wir	wir
legen	legen
an;	an;
und	und
sieh,	sieh
ein	ein
Alter	alter
begrüßt	begrüßt
uns	uns
leiernd:	leiernd:
"""Hej,"	"""hej"
"Slovane!"""	"slovane!"""
Am	am
Friedhofsrand	friedhofsrand
dann	dann
lehnen	lehnen
wir.	wir
Hoch	hoch
blaut	blaut
des	des
Himmels	himmels
Prachtzyane,	prachtzyane
und	und
unser	unser
Träumen	träumen
hebt,	hebt
ein	ein
Falter,	falter
auf	auf
Sonnenflügeln	sonnenflügeln
sich	sich
zu	zu
ihr.	ihr
AM	am
KIRCHHOF	kirchhof
ZU	zu
KÖNIGSAAL	königsaal
(aula	(aula
regis)	regis)
Auf	auf
schloß	schloß
das	das
Erztor	erztor
der	der
Kustode.	kustode
Du	du
sahst	sahst
vor	vor
Blüten	blüten
keine	keine
Gruft.	gruft
Der	der
Lenz	lenz
verschleierte	verschleierte
dem	dem
Tode	tode
das	das
Angesicht	angesicht
mit	mit
Blust	blust
und	und
Duft;	duft;
da	da
stieg	stieg
wie	wie
eine	eine
Todesode	todesode
ein	ein
Trauermantel	trauermantel
in	in
die	die
Luft.	luft
Wir	wir
sahn	sahn
ihn	ihn
beide	beide
und	und
wir	wir
schwiegen....	schwiegen
Rings	rings
feierte	feierte
Mittsommerlicht,	mittsommerlicht
in	in
den	den
Syringen	syringen
summten	summten
Fliegen.--	fliegen.--
Da	da
lag	lag
ein	ein
Schädel	schädel
vor	vor
uns	uns
dicht;	dicht;
aus	aus
seinen	seinen
leeren	leeren
Augen	augen
stiegen	stiegen
verkümmerte	verkümmerte
Vergißmeinnicht.	vergißmeinnicht
VIGILIEN	vigilien
I	i
Die	die
falben	falben
Felder	felder
schlafen	schlafen
schon,	schon
mein	mein
Herz	herz
nur	nur
wacht	wacht
allem;	allem;
der	der
Abend	abend
refft	refft
im	im
Hafen	hafen
schon	schon
sein	sein
rotes	rotes
Segel	segel
ein.	ein
Traumselige	traumselige
Vigilie!	vigilie
Jetzt	jetzt
wallt	wallt
die	die
Nacht	nacht
durchs	durchs
Land;	land;
der	der
Mond,	mond
die	die
weiße	weiße
Lilie,	lilie
blüht	blüht
auf	auf
in	in
ihrer	ihrer
Hand.	hand
II	ii
Am	am
offnen	offnen
Stubenfenster	stubenfenster
lehn	lehn
ich	ich
und	und
träume	träume
in	in
die	die
Nacht	nacht
hinauf;	hinauf;
das	das
Mondlicht	mondlicht
windet	windet
silbersträhnig	silbersträhnig
sich	sich
um	um
den	den
schwarzen	schwarzen
Kirchturmknauf.	kirchturmknauf
Sehn	sehn
wenig	wenig
Welten	welten
aus	aus
den	den
Fernen	fernen
auch	auch
durch	durch
den	den
engen	engen
Hof	hof
ins	ins
Haus,--	haus,--
es	es
füllte	füllte
Licht	licht
von	von
zehen	zehen
Sternen	sternen
ein	ein
ganzes,	ganzes
dunkles	dunkles
Leben	leben
aus.	aus
III	iii
Horch,	horch
der	der
Schritt	schritt
der	der
Nacht	nacht
erstirbt	erstirbt
in	in
der	der
weiten	weiten
Stille;	stille;
meine	meine
Schreibtischlampe	schreibtischlampe
zirpt	zirpt
leis	leis
wie	wie
eine	eine
Grille.	grille
Goldig	goldig
auf	auf
dem	dem
Bücherstand	bücherstand
glühn	glühn
der	der
Bände	bände
Rücken:	rücken:
zu	zu
der	der
Fahrt	fahrt
ins	ins
Feenland	feenland
Pfeiler	pfeiler
für	für
die	die
Brücken.	brücken
IV	iv
Sie	sie
hat,	hat
halb	halb
Kind,	kind
einst	einst
eine	eine
Nacht	nacht
beim	beim
toten	toten
Mütterlein	mütterlein
verbracht	verbracht
und	und
hat	hat
geweint	geweint
und	und
hat	hat
gewacht;--	gewacht;--
dann	dann
gingen	gingen
Jahre,	jahre
Jahre	jahre
sacht:	sacht:
nie	nie
hat	hat
sie	sie
jener	jener
Nacht	nacht
gedacht.	gedacht
Und	und
dann	dann
kam	kam
eine	eine
andre	andre
Nacht.	nacht
Da	da
hat	hat
von	von
Glut	glut
und	und
Sünd	sünd
entfacht	entfacht
die	die
rote	rote
Lippe	lippe
Lust	lust
gelacht,	gelacht
doch	doch
plötzlich--wie	plötzlich--wie
durch	durch
höhre	höhre
Macht	macht
dacht	dacht
sie	sie
der	der
Nacht	nacht
der	der
Leichenwacht.	leichenwacht
DEK	dek
LETZTE	letzte
SONNENGRUSS	sonnengruss
Zu	zu
einem	einem
Bilde	bilde
des	des
Benes	benes
Knüpfer	knüpfer
Die	die
Sonne	sonne
schmolz,	schmolz
die	die
hehre,	hehre
ins	ins
weiße	weiße
Meer	meer
so	so
heiß.	heiß
Zwei	zwei
Mönche	mönche
saßen	saßen
am	am
Meere,	meere
ein	ein
blonder	blonder
und	und
ein	ein
Greis.	greis
Der	der
sann:	sann:
Geh	geh
ich	ich
einst	einst
rasten,	rasten
so	so
friedlich	friedlich
mög	mög
es	es
sein--	sein--
und	und
jener:	jener:
Des	des
Ruhmes	ruhmes
Glasten	glasten
sollt	sollt
mir	mir
mein	mein
Sterben	sterben
weihn.	weihn
KAISER	kaiser
RUDOLF	rudolf
Hoch	hoch
auf	auf
seiner	seiner
Himmelswarte	himmelswarte
über	über
einer	einer
Sternenkarte	sternenkarte
sitzt	sitzt
der	der
Kaiser	kaiser
Rudolf	rudolf
dort,	dort
forschend,	forschend
ob	ob
der	der
langerharrte	langerharrte
Flugstern,	flugstern
der	der
die	die
Weisen	weisen
narrte,	narrte
streifen	streifen
würde	würde
diesen	diesen
Ort.	ort
Und	und
er	er
fragt	fragt
den	den
Astrologen,	astrologen
der	der
am	am
hohen	hohen
Himmelsbogen	himmelsbogen
alle	alle
Wanderwege	wanderwege
weiß:	weiß:
"""Wird"	"""wird"
von	von
Unglück	unglück
der	der
betrogen,	betrogen
den	den
der	der
Stern	stern
hineingezogen	hineingezogen
in	in
den	den
unheilvollen	unheilvollen
"Kreis?"""	"kreis?"""
Und	und
der	der
Alte	alte
weicht	weicht
ihm	ihm
leise	leise
aus:	aus:
"""Der"	"""der"
Stern	stern
zieht	zieht
seine	seine
Gleise,	gleise
Herr,	herr
im	im
fernen	fernen
"Ätherreich!"""	"ätherreich!"""
Und	und
gen	gen
Süden	süden
sieht	sieht
der	der
Weise;--	weise;--
und	und
der	der
Kaiser	kaiser
schaut	schaut
die	die
Kreise	kreise
seines	seines
Globen,	globen
ernst	ernst
und	und
bleich.--	bleich.--
Und	und
von	von
Süden	süden
kommt	kommt
Verderben,	verderben
kommt	kommt
Matthias.--Eilge	matthias.--eilge
Erben	erben
lassen	lassen
ihm	ihm
nur	nur
den	den
Hradschin;	hradschin;
und	und
der	der
Kaiser	kaiser
spricht	spricht
im	im
herben	herben
Spott:	spott:
"""Mir"	"""mir"
bleibt	bleibt
nichts,	nichts
als	als
zu	zu
sterben,	sterben
denn	denn
schon	schon
bin	bin
ich	ich
tot	tot
für	für
'ihn'.	'ihn'
Alter!	alter
Laß	laß
den	den
Bück	bück
uns	uns
heben!	heben
du	du
hast	hast
recht,	recht
die	die
Sterne	sterne
schweben	schweben
hoch	hoch
ob	ob
allem	allem
Erdenbann;	erdenbann;
aber--die	aber--die
nach	nach
ihnen	ihnen
streben,	streben
knüpfen	knüpfen
selbst	selbst
ihr	ihr
dunkles	dunkles
Leben	leben
an	an
die	die
lichten	lichten
Lose	lose
"an!--"""	"an!--"""
AUS	aus
DEM	dem
DREISSIGJÄHRIGEN	dreissigjährigen
KRIEGE	kriege
Kohlenskizzen	kohlenskizzen
in	in
Callots	callots
Manier	manier
1.	1
KRIEG	krieg
Feinster	feinster
ist	ist
die	die
Welt	welt
geworden,--	geworden,--
darum	darum
Dörfer	dörfer
rasch	rasch
entloht!	entloht
und	und
die	die
Welt	welt
ist	ist
grau;--drum	grau;--drum
rot	rot
färbt	färbt
sie	sie
durch	durch
das	das
Morden!	morden
Bauer!	bauer
Bittest	bittest
um	um
dein	dein
Leben?	leben?
Nimm	nimm
dirs!	dirs
Aber	aber
bei	bei
uns	uns
bleib!	bleib
Herrgott	herrgott
hat	hat
dir	dir
Ochs	ochs
und	und
Weib	weib
nur	nur
für	für
uns	uns
gegeben.	gegeben
Laß	laß
den	den
Teufel	teufel
Felder	felder
pflügen;	pflügen;
sieh,	sieh
wir	wir
haben	haben
stets	stets
genung!	genung
Vorwärts--einen	vorwärts--einen
Werbetrunk	werbetrunk
aus	aus
den	den
vollen	vollen
Krügen!	krügen
2.	2
ALEA	alea
JACTA	jacta
EST	est
"""..."	""""
Tod	tod
oder	oder
"Sold!"""	"sold!"""
Und	und
jetzt	jetzt
die	die
Trommel	trommel
schnell	schnell
her.	her
Auf	auf
das	das
Trommelfell	trommelfell
Würfel	würfel
gerollt.	gerollt
So	so
wird	wird
dem	dem
Lohn,	lohn
der	der
unsre	unsre
Streiche	streiche
sucht.	sucht
Sieh,	sieh
der	der
Baum,	baum
reiche	reiche
Frucht	frucht
trägt	trägt
er	er
doch	doch
schon!	schon
Solltest	solltest
schon	schon
längst	längst
hängen	hängen
dran,	dran
Kamerad!	kamerad
Drum	drum
ists	ists
nicht	nicht
jammerschad,	jammerschad
wenn	wenn
du	du
dann	dann
hängst!	hängst
3.	3
KRIEGSKNECHTS-SANG	kriegsknechts-sang
Lag	lag
auf	auf
einer	einer
Trommel	trommel
nackt,	nackt
kaum	kaum
zwei	zwei
Spannen	spannen
lang,	lang
und	und
der	der
rauhe	rauhe
Trommeltakt	trommeltakt
war	war
mein	mein
Wiegensang.	wiegensang
Wild	wild
zu	zu
wettern	wettern
taugte	taugte
ich	ich
damals	damals
schon	schon
im	im
Zorn,	zorn
meine	meine
Milch,	milch
die	die
saugte	saugte
ich	ich
aus	aus
dem	dem
Pulverhorn.	pulverhorn
Damals	damals
taufte	taufte
jeden	jeden
gut	gut
der	der
Korp'ral;	korp'ral;
beim	beim
Schopf	schopf
nahm	nahm
er	er
ihn,	ihn
goß	goß
Schwedenblut	schwedenblut
heiß	heiß
ihm	ihm
übern	übern
Kopf.	kopf
4.	4
KRIEGSKNECHTS-RANG	kriegsknechts-rang
Bei	bei
uns	uns
gibts	gibts
nicht	nicht
Edelinge,	edelinge
die	die
was	was
gelten	gelten
durch	durch
ihr	ihr
Blut,	blut
jedes	jedes
Rang	rang
ist	ist
jedes	jedes
Klinge,	klinge
und	und
sein	sein
Wappen	wappen
ist	ist
der	der
Mut.	mut
Wer	wer
nur	nur
immer	immer
kühn	kühn
sein	sein
Schwert	schwert
hält	hält
den	den
Schild	schild
von	von
Schande	schande
rein,	rein
wer	wer
noch	noch
gestern	gestern
unterm	unterm
Heer	heer
zog,	zog
Herzog	herzog
kann	kann
er	er
morgen	morgen
sein.	sein
5.	5
BEIM	beim
KLOSTER	kloster
Was	was
gibts?--Eine	gibts?--eine
Klosterpforte?--	klosterpforte?--
Ei,	ei
Potz	potz
Blitz!	blitz
Eine	eine
Tür	tür
von	von
dieser	dieser
Sorte	sorte
renn	renn
ich	ich
ohne	ohne
viele	viele
Worte	worte
ein	ein
mit	mit
meiner	meiner
Nasenspitz!	nasenspitz
Auf	auf
das	das
Tor	tor
ein	ein
fester	fester
Stempel....	stempel
Pfaffe,	pfaffe
komm!	komm
Jetzt	jetzt
heraus	heraus
mit	mit
deinem	deinem
Krempel,	krempel
paar	paar
Monstranzen	monstranzen
zum	zum
Exempel	exempel
und	und
paar	paar
Kelche:	kelche:
wir	wir
sind	sind
fromm.	fromm
Laß	laß
jetzt	jetzt
dein:	dein:
Peccavi,	peccavi
pater....	pater
Leucht	leucht
zum	zum
Wein	wein
uns	uns
mit	mit
deiner	deiner
Nase,	nase
frater,	frater
dorten	dorten
kannst	kannst
du	du
uns	uns
ein	ein
Rater,	rater
und	und
ein	ein
"""Seelensorger"""	"""seelensorger"""
sein!	sein
6.	6
BALLADE	ballade
Gestern	gestern
zogen	zogen
wilde	wilde
Horden	horden
durch	durch
das	das
Dörfchen	dörfchen
hin	hin
mit	mit
Morden,	morden
und	und
ein	ein
Mädchen	mädchen
sinnt	sinnt
jetzt	jetzt
still:	still:
Ist	ist
der	der
Liebste	liebste
untreu	untreu
worden,	worden
weil	weil
er	er
heut	heut
nicht	nicht
kommen	kommen
will?--	will?--
Draußen	draußen
schrien	schrien
die	die
Dohlen.	dohlen
Mädchen	mädchen
ging	ging
mit	mit
bleicher	bleicher
Wange	wange
durch	durch
das	das
Haus.--Sie	haus.--sie
harrte	harrte
lange,	lange
und	und
des	des
Nachts	nachts
floh	floh
sie	sie
der	der
Schlaf.	schlaf
Und	und
sie	sie
schlich	schlich
hinaus	hinaus
zum	zum
Hange,	hange
wo	wo
sie	sie
stets	stets
den	den
Teuren	teuren
traf.	traf
Ängstlich	ängstlich
schrien	schrien
die	die
Dohlen.	dohlen
Und	und
die	die
Nacht	nacht
war	war
schwarz,	schwarz
die	die
schwüle,	schwüle
fern	fern
nur	nur
brannte	brannte
eine	eine
Mühle....	mühle
Weinend	weinend
wählt	wählt
die	die
matte	matte
Maid	maid
sich	sich
gar	gar
weiches	weiches
Kraut	kraut
zum	zum
Pfühle	pfühle
und	und
entschlief	entschlief
in	in
lauter	lauter
Leid.	leid
Schrieen	schrieen
noch	noch
die	die
Dohlen?	dohlen?
Spät	spät
erwacht	erwacht
sie.	sie
Nebel	nebel
grauten	grauten
rings--soweit	rings--soweit
die	die
Augen	augen
schauten....	schauten
Weh!--Was	weh!--was
sie	sie
ein	ein
Kraut	kraut
geglaubt,	geglaubt
ist	ist
das	das
Haar	haar
an	an
ihres	ihres
Trauten	trauten
blutigem,	blutigem
zerschelltem	zerschelltem
Haupt.--	haupt.--
Schrecklich	schrecklich
schrien	schrien
die	die
Dohlen.	dohlen
7.	7
DER	der
FENSTERSTURZ	fenstersturz
"""Naht"	"""naht"
Verrat	verrat
mit	mit
leisem	leisem
Schritte,	schritte
ungerächt,	ungerächt
bei	bei
der	der
Madonna,	madonna
bleibt	bleibt
er	er
nicht!	nicht
Nach	nach
alter	alter
Sitte	sitte
zu	zu
den	den
"Fenstern!"""	"fenstern!"""
schrie	schrie
Colonna.	colonna
"""Schont"	"""schont"
den	den
Popel!	popel
doch	doch
die	die
andern,	andern
jeder	jeder
eine	eine
feige	feige
Natter,	natter
aus	aus
den	den
Fenstern	fenstern
laßt	laßt
sie	sie
wandern!	wandern
Mitleid?--Werft	mitleid?--werft
ihn	ihn
mit,	mit
den	den
"Platter!"""	"platter!"""
Bange	bange
hangt	hangt
am	am
Fensterstocke	fensterstocke
Martinitz	martinitz
noch.--Da	noch.--da
Geröchel:	geröchel:
Turn	turn
schwingt	schwingt
seine	seine
Degenglocke	degenglocke
und	und
zerschmettert	zerschmettert
ihm	ihm
die	die
