The	﻿the
Wölbung	wölbung
funkelt,	funkelt
eine	eine
Heilge,	heilge
braungedunkelt,	braungedunkelt
dämmert	dämmert
hinter	hinter
trüben	trüben
Kerzen.	kerzen
Von	von
der	der
Decke,	decke
rundgemauert,	rundgemauert
schwebt	schwebt
ob	ob
eines	eines
Engels	engels
Kopfe	kopfe
hell	hell
ein	ein
weißer	weißer
Silbertropfe,	silbertropfe
drin	drin
ein	ein
ewig	ewig
Lichtlein	lichtlein
kauert.	kauert
Und	und
im	im
Eck,	eck
wo	wo
Goldgeglaste	goldgeglaste
niederhangt	niederhangt
in	in
staubgen	staubgen
Klumpen,	klumpen
steht	steht
in	in
Schmutz	schmutz
gehüllt	gehüllt
und	und
Lumpen	lumpen
still	still
ein	ein
Kind	kind
der	der
Bettlerkaste.	bettlerkaste
Von	von
dem	dem
ganzen	ganzen
Glänze	glänze
floß	floß
ihm	ihm
in	in
die	die
Brust	brust
kein	kein
Fünkchen	fünkchen
Segen....	segen
Zitternd,	zitternd
matt,	matt
streckts	streckts
mir	mir
entgegen	entgegen
seine	seine
Hand	hand
mit	mit
leisem:	leisem:
"""Prosim!"""	"""prosim!"""
IN	in
DER	der
KAPELLE	kapelle
ST.	st
WENZELS	wenzels
Alle	alle
Wände	wände
in	in
der	der
Halle	halle
voll	voll
des	des
Prachtgesteins;	prachtgesteins;
wer	wer
wüßte	wüßte
sie	sie
zu	zu
nennen:	nennen:
Bergkristalle,	bergkristalle
Rauchtopase,	rauchtopase
Amethyste.	amethyste
Zauberhell	zauberhell
wie	wie
ein	ein
Mirakel	mirakel
glänzt	glänzt
der	der
Raum	raum
im	im
Lichtgetänzel,	lichtgetänzel
unterm	unterm
goldnen	goldnen
Tabernakel	tabernakel
ruht	ruht
der	der
Staub	staub
des	des
heilgen	heilgen
Wenzel.	wenzel
Ganz	ganz
von	von
Leuchten	leuchten
bis	bis
zum	zum
Scheitel	scheitel
ist	ist
die	die
Kuppel	kuppel
voll,	voll
die	die
hohle;	hohle;
und	und
der	der
Goldglast	goldglast
sieht	sieht
sich	sich
eitel	eitel
in	in
die	die
gelben	gelben
Karneole.	karneole
VOM	vom
LUGAUS	lugaus
Dort,	dort
seh	seh
ich	ich
Türme,	türme
kuppig	kuppig
bald	bald
wie	wie
Eicheln	eicheln
und	und
jene	jene
wieder	wieder
spitz	spitz
wie	wie
schlanke	schlanke
Birnen;	birnen;
dort	dort
liegt	liegt
die	die
Stadt;	stadt;
an	an
ihre	ihre
tausend	tausend
Stirnen	stirnen
schmiegt	schmiegt
sich	sich
der	der
Abend	abend
schon	schon
mit	mit
leisem	leisem
Schmeicheln.	schmeicheln
Weit	weit
streckt	streckt
sie	sie
ihren	ihren
schwarzen	schwarzen
Leib.	leib
Ganz	ganz
hinten	hinten
sieh	sieh
St.	st
Mariens	mariens
Doppeltürme	doppeltürme
blitzen.	blitzen
Ists	ists
nicht:	nicht:
Sie	sie
saugte	saugte
durch	durch
zwei	zwei
Fühlerspitzen	fühlerspitzen
in	in
sich	sich
des	des
Himmels	himmels
violette	violette
Tinten!	tinten
DER	der
BAU	bau
(1)	(1)
Die	die
moderne	moderne
Bauschablone	bauschablone
will	will
mir	mir
wahrlich	wahrlich
gar	gar
nicht	nicht
passen.	passen
Hier,	hier
dies	dies
alte	alte
Haus	haus
darf	darf
fassen	fassen
reiche,	reiche
weite	weite
Steinterrassen,	steinterrassen
kleine,	kleine
heimliche	heimliche
Balkone.	balkone
Und	und
die	die
weitgewölbten	weitgewölbten
Decken,	decken
die	die
so	so
günstig	günstig
sind	sind
den	den
Lauten,	lauten
Nischen	nischen
rings,	rings
die	die
eingebauten,	eingebauten
draus	draus
die	die
Arme	arme
sich	sich
der	der
trauten	trauten
Dämmrung	dämmrung
dir	dir
entgegenstrecken.	entgegenstrecken
Alle	alle
Mauern	mauern
breiter,	breiter
stärker	stärker
und	und
aus	aus
echten	echten
Quaderkernen;--	quaderkernen;--
traun,	traun
das	das
Gruseln	gruseln
könnt	könnt
ich	ich
lernen,	lernen
seh	seh
ich	ich
auf	auf
die	die
Zinskasernen	zinskasernen
aus	aus
dem	dem
kleinen,	kleinen
Stillen	stillen
Erker.	erker
IM	im
STÜBCHEN	stübchen
(2)	(2)
Traut	traut
ists,	ists
wenn	wenn
verstohlen	verstohlen
heulen	heulen
im	im
Kamine	kamine
wilde	wilde
Winde	winde
in	in
der	der
Stube;	stube;
ganz	ganz
gelinde	gelinde
tickt	tickt
auf	auf
dem	dem
barocken	barocken
Spinde	spinde
fort	fort
die	die
Stockuhr	stockuhr
mit	mit
den	den
Säulen.	säulen
Dort,	dort
die	die
kleine	kleine
Silhouette	silhouette
zeigt	zeigt
die	die
alte	alte
Tracht	tracht
der	der
Locken,	locken
tief	tief
im	im
Fenster	fenster
steht	steht
ein	ein
Rocken,	rocken
und	und
vergeßne	vergeßne
Töne	töne
stocken	stocken
im	im
verlassenen	verlassenen
Spinette.	spinette
Immer	immer
noch	noch
hegt	hegt
die	die
Postille,	postille
daß	daß
an	an
ihrem	ihrem
Geist	geist
erfrische	erfrische
jung	jung
und	und
alt	alt
sich,	sich
auf	auf
dem	dem
Tische,	tische
und	und
der	der
Spruch	spruch
ob	ob
jener	jener
Nische	nische
lautet:	lautet:
"""Es"	"""es"
gescheh	gescheh
Dein	dein
"Wille...."""	"wille...."""
ZAUBER	zauber
(3)	(3)
Oft	oft
seh	seh
ich	ich
die	die
heimliche	heimliche
Stube	stube
belebt,	belebt
so	so
lebhaft	lebhaft
erzählen	erzählen
die	die
Wände;	wände;
ein	ein
liebliches	liebliches
Mädchen,	mädchen
halb	halb
Kind	kind
noch,	noch
hebt	hebt
dort	dort
zu	zu
der	der
Madonna	madonna
die	die
Hände.	hände
Ein	ein
tüchtiger	tüchtiger
Junge	junge
beim	beim
Vater	vater
steht,	steht
der	der
viel	viel
zu	zu
des	des
Hauses	hauses
Gewinn	gewinn
tat.	tat
An	an
huben	huben
sie	sie
flüsternd	flüsternd
das	das
Abendgebet,	abendgebet
und	und
Mutter	mutter
läßt	läßt
ruhen	ruhen
das	das
Spinnrad.	spinnrad
Da	da
deucht	deucht
mich,	mich
es	es
wird	wird
wohl	wohl
das	das
Auge	auge
naß	naß
sogar	sogar
der	der
Madonna	madonna
im	im
Rahmen.	rahmen
Ich	ich
lausche:--Laut	lausche:--laut
von	von
des	des
Vaters	vaters
Baß	baß
ertönt	ertönt
das	das
versöhnende:	versöhnende:
"""Amen""."	"""amen"""
EIN	ein
ANDERES	anderes
(4)	(4)
Naht	naht
der	der
Sohn	sohn
mit	mit
schwerem	schwerem
Schritt	schritt
seinem	seinem
Vater.	vater
Schwer	schwer
die	die
Zunge....	zunge
"""Wirklich,"	"""wirklich"
was,	was
ein	ein
Bräutchen,	bräutchen
junge?!	junge?
Vorwärts,	vorwärts
nur	nur
herein	herein
"damit!"""	"damit!"""
Und	und
da	da
steht	steht
zum	zum
erstenmal	erstenmal
jetzt	jetzt
das	das
Mädchen	mädchen
rot	rot
und	und
stille;	stille;
und	und
der	der
Vater	vater
putzt	putzt
