1,the,29236,0.03
2,and,28282,0.029
3,to,21904,0.023
4,i,21122,0.022
5,of,18427,0.019
6,a,15612,0.016
7,you,14493,0.015
8,my,13055,0.014
9,in,11907,0.012
10,that,11684,0.012
11,is,9841,0.01
12,not,8911,0.009
13,with,8608,0.009
14,for,8087,0.008
15,it,8022,0.008
16,me,8009,0.008
17,he,7925,0.008
18,his,7626,0.008
19,be,7250,0.008
20,your,7040,0.007
21,this,6991,0.007
22,as,6952,0.007
23,but,6668,0.007
24,have,6229,0.006
25,thou,5864,0.006
26,him,5445,0.006
27,so,5310,0.006
28,will,5233,0.005
29,what,4652,0.005
30,her,4576,0.005
31,thy,4329,0.005
32,all,4264,0.004
33,by,4142,0.004
34,do,4026,0.004
35,no,3998,0.004
36,shall,3837,0.004
37,if,3748,0.004
38,are,3672,0.004
39,we,3537,0.004
40,they,3484,0.004
41,on,3392,0.004
42,thee,3309,0.003
43,our,3284,0.003
44,lord,3078,0.003
45,now,2970,0.003
46,from,2936,0.003
47,she,2909,0.003
48,good,2876,0.003
49,king,2826,0.003
50,sir,2765,0.003
51,at,2713,0.003
52,or,2632,0.003
53,come,2527,0.003
54,which,2515,0.003
55,enter,2506,0.003
56,more,2476,0.003
57,would,2457,0.003
58,was,2420,0.003
59,then,2390,0.002
60,their,2367,0.002
61,am,2292,0.002
62,o,2249,0.002
63,how,2245,0.002
64,here,2232,0.002
65,let,2207,0.002
66,love,2199,0.002
67,when,2196,0.002
68,well,2192,0.002
69,them,2064,0.002
70,hath,2049,0.002
71,than,2012,0.002
72,an,1960,0.002
73,man,1947,0.002
74,one,1917,0.002
75,like,1905,0.002
76,there,1900,0.002
77,upon,1879,0.002
78,"ill",1876,0.002
79,may,1774,0.002
80,make,1770,0.002
81,go,1754,0.002
82,know,1754,0.002
83,did,1730,0.002
84,say,1725,0.002
85,were,1716,0.002
86,yet,1708,0.002
87,us,1704,0.002
88,should,1692,0.002
89,must,1624,0.002
90,see,1537,0.002
91,had,1535,0.002
92,why,1519,0.002
93,such,1515,0.002
94,"tis",1489,0.002
95,out,1446,0.002
96,some,1417,0.001
97,give,1407,0.001
98,these,1395,0.001
99,"th",1365,0.001
100,who,1333,0.001
101,where,1324,0.001
102,too,1305,0.001
103,can,1299,0.001
104,first,1295,0.001
105,take,1288,0.001
106,most,1237,0.001
107,mine,1228,0.001
108,"t",1188,0.001
109,speak,1178,0.001
110,up,1171,0.001
111,exit,1133,0.001
112,never,1132,0.001
113,exits,1126,0.001
114,tell,1102,0.001
115,time,1101,0.001
116,think,1093,0.001
117,much,1085,0.001
118,duke,1081,0.001
119,doth,1071,0.001
120,nor,1045,0.001
121,queen,1044,0.001
122,heart,1018,0.001
123,art,974,0.001
124,great,944,0.001
125,lady,938,0.001
126,men,920,0.001
127,hear,917,0.001
128,hand,914,0.001
129,prince,902,0.001
130,death,897,0.001
131,life,892,0.001
132,made,888,0.001
133,aside,888,0.001
134,away,882,0.001
135,look,864,0.001
136,father,854,0.001
137,very,847,0.001
138,fair,843,0.001
139,sweet,838,0.001
140,own,825,0.001
141,cannot,817,0.001
142,true,809,0.001
143,scene,808,0.001
144,again,808,0.001
145,before,784,0.001
146,master,783,0.001
147,god,782,0.001
148,richard,781,0.001
149,day,774,0.001
150,two,773,0.001
151,pray,771,0.001
152,eyes,770,0.001
153,thus,763,0.001
154,ay,754,0.001
155,being,751,0.001
156,been,744,0.001
157,son,743,0.001
158,old,739,0.001
159,any,727,0.001
160,other,722,0.001
161,mistress,708,0.001
162,done,701,0.001
163,leave,700,0.001
164,both,694,0.001
165,down,693,0.001
166,poor,691,0.001
167,second,691,0.001
168,whose,690,0.001
169,till,687,0.001
170,name,687,0.001
171,though,679,0.001
172,into,677,0.001
173,could,674,0.001
174,fear,674,0.001
175,night,673,0.001
176,blood,672,0.001
177,honor,672,0.001
178,noble,657,0.001
179,nothing,653,0.001
180,fool,653,0.001
181,world,652,0.001
182,therefore,644,0.001
183,comes,641,0.001
184,heaven,632,0.001
185,even,624,0.001
186,better,624,0.001
187,hast,619,0.001
188,still,618,0.001
189,against,617,0.001
190,henry,617,0.001
191,those,613,0.001
192,falstaff,601,0.001
193,gentleman,600,0.001
194,way,597,0.001
195,stand,595,0.001
196,myself,592,0.001
197,many,592,0.001
198,brother,592,0.001
199,call,587,0.001
200,nay,580,0.001
201,grace,574,0.001
202,dead,573,0.001
203,ever,569,0.001
204,bear,556,0.001
205,john,556,0.001
206,might,551,0.001
207,find,551,0.001
208,live,537,0.001
209,peace,533,0.001
210,head,527,0.001
211,daughter,525,0.001
212,put,522,0.001
213,off,521,0.001
214,little,518,0.001
215,keep,514,0.001
216,friend,512,0.001
217,die,511,0.001
218,madam,510,0.001
219,antony,505,0.001
220,caesar,503,0.001
221,wife,500,0.001
222,young,498,0.001
223,word,497,0.001
224,york,497,0.001
225,none,493,0.001
226,set,492,0.001
227,boy,491,0.001
228,every,490,0.001
229,lords,484,0.001
230,himself,483,0.001
231,hold,482,0.001
232,thine,482,0.001
233,since,481,0.001
234,within,479,0.0
235,friends,478,0.0
236,best,478,0.0
237,bring,477,0.0
238,eye,477,0.0
239,long,475,0.0
240,brutus,472,0.0
241,unto,471,0.0
242,part,471,0.0
243,face,470,0.0
244,dear,466,0.0
245,hamlet,465,0.0
246,gloucester,464,0.0
247,whom,463,0.0
248,soul,457,0.0
249,full,452,0.0
250,place,450,0.0
251,page,449,0.0
252,show,449,0.0
253,else,445,0.0
254,dost,444,0.0
255,once,440,0.0
256,stay,439,0.0
257,gone,439,0.0
258,another,438,0.0
259,indeed,438,0.0
260,after,432,0.0
261,"thats",431,0.0
262,faith,428,0.0
263,house,426,0.0
264,about,426,0.0
265,words,426,0.0
266,has,426,0.0
267,france,420,0.0
268,tongue,417,0.0
269,three,412,0.0
270,said,411,0.0
271,"theres",407,0.0
272,warwick,407,0.0
273,"i",406,0.0
274,"o",406,0.0
275,makes,405,0.0
276,please,404,0.0
277,forth,397,0.0
278,ere,396,0.0
279,thought,394,0.0
280,sword,393,0.0
281,gentle,393,0.0
282,hands,388,0.0
283,messenger,385,0.0
284,hope,382,0.0
285,answer,381,0.0
286,without,379,0.0
287,heard,371,0.0
288,marry,369,0.0
289,hence,369,0.0
290,mind,368,0.0
291,iago,366,0.0
292,right,365,0.0
293,rest,364,0.0
294,welcome,364,0.0
